region,provincia,comuna
Antofagasta,Antofagasta,Antofagasta
Antofagasta,Antofagasta,Mejillones
Antofagasta,Antofagasta,Sierra Gorda
Antofagasta,Antofagasta,Taltal
Antofagasta,El Loa,Calama
Antofagasta,El Loa,Ollagüe
Antofagasta,El Loa,San Pedro de Atacama
Antofagasta,Tocopilla,María Elena
Antofagasta,Tocopilla,Tocopilla
Arica y Parinacota,Arica,Arica
Arica y Parinacota,Arica,Camarones
Arica y Parinacota,Parinacota,General Lagos
Arica y Parinacota,Parinacota,Putre
Atacama,Chañaral,Chañaral
Atacama,Chañaral,Diego de Almagro
Atacama,Copiapó,Caldera
Atacama,Copiapó,Copiapó
Atacama,Copiapó,Tierra Amarilla
Atacama,Huasco,Alto del Carmen
Atacama,Huasco,Freirina
Atacama,Huasco,Huasco
Atacama,Huasco,Vallenar
Aysén del Gral. C. Ibáñez del Campo,Aysén,Aysén
Aysén del Gral. C. Ibáñez del Campo,Aysén,Cisnes
Aysén del Gral. C. Ibáñez del Campo,Aysén,Guaitecas
Aysén del Gral. C. Ibáñez del Campo,Capitán Prat,Cochrane
Aysén del Gral. C. Ibáñez del Campo,Capitán Prat,O' Higgins
Aysén del Gral. C. Ibáñez del Campo,Capitán Prat,Tortel
Aysén del Gral. C. Ibáñez del Campo,Coyhaique,Coyhaique
Aysén del Gral. C. Ibáñez del Campo,Coyhaique,Lago Verde
Aysén del Gral. C. Ibáñez del Campo,General Carrera,Chile Chico
Aysén del Gral. C. Ibáñez del Campo,General Carrera,Río Ibáñez
Biobío,Arauco,Arauco
Biobío,Arauco,Cañete
Biobío,Arauco,Contulmo
Biobío,Arauco,Curanilahue
Biobío,Arauco,Lebu
Biobío,Arauco,Los Álamos
Biobío,Arauco,Tirúa
Biobío,Biobío,Alto Biobío
Biobío,Biobío,Antuco
Biobío,Biobío,Cabrero
Biobío,Biobío,Laja
Biobío,Biobío,Los Ángeles
Biobío,Biobío,Mulchén
Biobío,Biobío,Nacimiento
Biobío,Biobío,Negrete
Biobío,Biobío,Quilaco
Biobío,Biobío,Quilleco
Biobío,Biobío,San Rosendo
Biobío,Biobío,Santa Bárbara
Biobío,Biobío,Tucapel
Biobío,Biobío,Yumbel
Biobío,Concepción,Chiguayante
Biobío,Concepción,Concepción
Biobío,Concepción,Coronel
Biobío,Concepción,Florida
Biobío,Concepción,Hualpén
Biobío,Concepción,Hualqui
Biobío,Concepción,Lota
Biobío,Concepción,Penco
Biobío,Concepción,San Pedro de La Paz
Biobío,Concepción,Santa Juana
Biobío,Concepción,Talcahuano
Biobío,Concepción,Tomé
Coquimbo,Choapa,Canela
Coquimbo,Choapa,Illapel
Coquimbo,Choapa,Los Vilos
Coquimbo,Choapa,Salamanca
Coquimbo,Elqui,Andacollo
Coquimbo,Elqui,Coquimbo
Coquimbo,Elqui,La Higuera
Coquimbo,Elqui,La Serena
Coquimbo,Elqui,Paihuano
Coquimbo,Elqui,Vicuña
Coquimbo,Limarí,Combarbalá
Coquimbo,Limarí,Monte Patria
Coquimbo,Limarí,Ovalle
Coquimbo,Limarí,Punitaqui
Coquimbo,Limarí,Río Hurtado
La Araucanía,Cautín,Carahue
La Araucanía,Cautín,Cholchol
La Araucanía,Cautín,Cunco
La Araucanía,Cautín,Curarrehue
La Araucanía,Cautín,Freire
La Araucanía,Cautín,Galvarino
La Araucanía,Cautín,Gorbea
La Araucanía,Cautín,Lautaro
La Araucanía,Cautín,Loncoche
La Araucanía,Cautín,Melipeuco
La Araucanía,Cautín,Nueva Imperial
La Araucanía,Cautín,Padre Las Casas
La Araucanía,Cautín,Perquenco
La Araucanía,Cautín,Pitrufquén
La Araucanía,Cautín,Pucón
La Araucanía,Cautín,Saavedra
La Araucanía,Cautín,Temuco
La Araucanía,Cautín,Teodoro Schmidt
La Araucanía,Cautín,Toltén
La Araucanía,Cautín,Vilcún
La Araucanía,Cautín,Villarrica
La Araucanía,Malleco,Angol
La Araucanía,Malleco,Collipulli
La Araucanía,Malleco,Curacautín
La Araucanía,Malleco,Ercilla
La Araucanía,Malleco,Lonquimay
La Araucanía,Malleco,Los Sauces
La Araucanía,Malleco,Lumaco
La Araucanía,Malleco,Purén
La Araucanía,Malleco,Renaico
La Araucanía,Malleco,Traiguén
La Araucanía,Malleco,Victoria
Lib. Gral. Bernardo O' Higgins,Cachapoal,Codegua
Lib. Gral. Bernardo O' Higgins,Cachapoal,Coinco
Lib. Gral. Bernardo O' Higgins,Cachapoal,Coltauco
Lib. Gral. Bernardo O' Higgins,Cachapoal,Doñihue
Lib. Gral. Bernardo O' Higgins,Cachapoal,Graneros
Lib. Gral. Bernardo O' Higgins,Cachapoal,Las Cabras
Lib. Gral. Bernardo O' Higgins,Cachapoal,Machalí
Lib. Gral. Bernardo O' Higgins,Cachapoal,Malloa
Lib. Gral. Bernardo O' Higgins,Cachapoal,Mostazal
Lib. Gral. Bernardo O' Higgins,Cachapoal,Olivar
Lib. Gral. Bernardo O' Higgins,Cachapoal,Peumo
Lib. Gral. Bernardo O' Higgins,Cachapoal,Pichidegua
Lib. Gral. Bernardo O' Higgins,Cachapoal,Quinta de Tilcoco
Lib. Gral. Bernardo O' Higgins,Cachapoal,Rancagua
Lib. Gral. Bernardo O' Higgins,Cachapoal,Rengo
Lib. Gral. Bernardo O' Higgins,Cachapoal,Requínoa
Lib. Gral. Bernardo O' Higgins,Cachapoal,San Vicente
Lib. Gral. Bernardo O' Higgins,Cardenal Caro,La Estrella
Lib. Gral. Bernardo O' Higgins,Cardenal Caro,Litueche
Lib. Gral. Bernardo O' Higgins,Cardenal Caro,Marchihue
Lib. Gral. Bernardo O' Higgins,Cardenal Caro,Navidad
Lib. Gral. Bernardo O' Higgins,Cardenal Caro,Paredones
Lib. Gral. Bernardo O' Higgins,Cardenal Caro,Pichilemu
Lib. Gral. Bernardo O' Higgins,Colchagua,Chimbarongo
Lib. Gral. Bernardo O' Higgins,Colchagua,Chépica
Lib. Gral. Bernardo O' Higgins,Colchagua,Lolol
Lib. Gral. Bernardo O' Higgins,Colchagua,Nancagua
Lib. Gral. Bernardo O' Higgins,Colchagua,Palmilla
Lib. Gral. Bernardo O' Higgins,Colchagua,Peralillo
Lib. Gral. Bernardo O' Higgins,Colchagua,Placilla
Lib. Gral. Bernardo O' Higgins,Colchagua,Pumanque
Lib. Gral. Bernardo O' Higgins,Colchagua,San Fernando
Lib. Gral. Bernardo O' Higgins,Colchagua,Santa Cruz
Los Lagos,Chiloé,Ancud
Los Lagos,Chiloé,Castro
Los Lagos,Chiloé,Chonchi
Los Lagos,Chiloé,Curaco de Vélez
Los Lagos,Chiloé,Dalcahue
Los Lagos,Chiloé,Puqueldón
Los Lagos,Chiloé,Queilén
Los Lagos,Chiloé,Quellón
Los Lagos,Chiloé,Quemchi
Los Lagos,Chiloé,Quinchao
Los Lagos,Llanquihue,Calbuco
Los Lagos,Llanquihue,Cochamó
Los Lagos,Llanquihue,Fresia
Los Lagos,Llanquihue,Frutillar
Los Lagos,Llanquihue,Llanquihue
Los Lagos,Llanquihue,Los Muermos
Los Lagos,Llanquihue,Maullín
Los Lagos,Llanquihue,Puerto Montt
Los Lagos,Llanquihue,Puerto Varas
Los Lagos,Osorno,Osorno
Los Lagos,Osorno,Puerto Octay
Los Lagos,Osorno,Purranque
Los Lagos,Osorno,Puyehue
Los Lagos,Osorno,Río Negro
Los Lagos,Osorno,San Juan de la Costa
Los Lagos,Osorno,San Pablo
Los Lagos,Palena,Chaitén
Los Lagos,Palena,Futaleufú
Los Lagos,Palena,Hualaihué
Los Lagos,Palena,Palena
Los Ríos,Ranco,Futrono
Los Ríos,Ranco,La Unión
Los Ríos,Ranco,Lago Ranco
Los Ríos,Ranco,Río Bueno
Los Ríos,Valdivia,Corral
Los Ríos,Valdivia,Lanco
Los Ríos,Valdivia,Los Lagos
Los Ríos,Valdivia,Mariquina
Los Ríos,Valdivia,Máfil
Los Ríos,Valdivia,Paillaco
Los Ríos,Valdivia,Panguipulli
Los Ríos,Valdivia,Valdivia
Magallanes y Antártica Chilena,Antártica Chilena,Antártica
Magallanes y Antártica Chilena,Antártica Chilena,Cabo de Hornos
Magallanes y Antártica Chilena,Magallanes,Laguna Blanca
Magallanes y Antártica Chilena,Magallanes,Punta Arenas
Magallanes y Antártica Chilena,Magallanes,Río Verde
Magallanes y Antártica Chilena,Magallanes,San Gregorio
Magallanes y Antártica Chilena,Tierra del Fuego,Porvenir
Magallanes y Antártica Chilena,Tierra del Fuego,Primavera
Magallanes y Antártica Chilena,Tierra del Fuego,Timaukel
Magallanes y Antártica Chilena,Última Esperanza,Natales
Magallanes y Antártica Chilena,Última Esperanza,Torres del Paine
Maule,Cauquenes,Cauquenes
Maule,Cauquenes,Chanco
Maule,Cauquenes,Pelluhue
Maule,Curicó,Curicó
Maule,Curicó,Hualañé
Maule,Curicó,Licantén
Maule,Curicó,Molina
Maule,Curicó,Rauco
Maule,Curicó,Romeral
Maule,Curicó,Sagrada Familia
Maule,Curicó,Teno
Maule,Curicó,Vichuquén
Maule,Linares,Colbún
Maule,Linares,Linares
Maule,Linares,Longaví
Maule,Linares,Parral
